State,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
TX,"29,145,505","11,584,597",0.3975,"3,444,712",0.1182,"85,425",0.0029,"1,561,518",0.0536,"27,857",0.001,"113,584",0.0039000000000000003,"886,095",0.0304,"11,441,717",0.3926
UT,"3,271,616","2,465,355",0.7536,"37,192",0.011399999999999999,"28,690",0.0088,"78,618",0.024,"35,831",0.011000000000000001,"12,566",0.0038,"120,452",0.0368,"492,912",0.1507
VT,"643,077","573,201",0.8913,"8,649",0.0134,"1,986",0.0031,"11,457",0.0178,170,0.0003,"2,561",0.004,"29,549",0.045899999999999996,"15,504",0.0241
VA,"8,631,393","5,058,363",0.586,"1,578,090",0.18280000000000002,"19,080",0.0022,"610,612",0.0707,"6,195",0.0007000000000000001,"45,394",0.0053,"404,910",0.046900000000000004,"908,749",0.10529999999999999
WA,"7,705,281","4,918,820",0.6384000000000001,"296,170",0.0384,"91,191",0.0118,"723,062",0.09380000000000001,"62,490",0.008100000000000001,"43,221",0.005600000000000001,"511,114",0.0663,"1,059,213",0.1375
WV,"1,793,716","1,598,834",0.8914,"64,749",0.0361,"3,187",0.0018,"14,903",0.0083,429,0.0002,"4,652",0.0026,"72,135",0.04019999999999999,"34,827",0.0194
WI,"5,893,718","4,634,018",0.7863,"366,508",0.0622,"48,384",0.008199999999999999,"174,267",0.0296,"1,892",0.0003,"17,613",0.003,"203,746",0.0346,"447,290",0.0759
WY,"576,851","469,664",0.8142,"4,735",0.008199999999999999,"11,781",0.0204,"5,037",0.0087,489,0.0008,"2,425",0.0042,"23,674",0.040999999999999995,"59,046",0.1024
AS,"49,710",374,0.0075,24,0.0005,13,0.0003,"2,878",0.0579,"44,090",0.8869,139,0.0028000000000000004,"2,192",0.0441,406,0.008199999999999999
GU,"153,836","10,491",0.0682,"1,340",0.0087,214,0.0014000000000000002,"54,586",0.35479999999999995,"70,809",0.4603,955,0.0062,"15,441",0.10039999999999999,"4,522",0.0294
MP,"47,329","1,015",0.021400000000000002,65,0.0014000000000000002,12,0.0003,"22,054",0.466,"20,665",0.4366,65,0.0014000000000000002,"3,453",0.073,554,0.011699999999999999
PR,"3,285,874","24,548",0.0075,"4,286",0.0013,312,0.0001,"2,746",0.0008,91,0.0,"2,508",0.0008,"2,340",0.0007000000000000001,"3,249,043",0.9887999999999999
VI,"87,146","11,036",0.1266,"55,936",0.6419,N/A,0.0,N/A,0.0,N/A,0.0,"1,750",0.020099999999999996,"2,349",0.027000000000000003,"16,075",0.1845
