Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2020-09-02,DC,14077.0,3006.0,7245.0,,216.0,36.0,38.0,,3297.0,239.0,3668.0,9150.0,1259.0,608.0,64.0,453.0,77.0,8.0,,,,6.0,0.0,77.0,531.0,0.0
2020-09-16,DC,14743.0,3206.0,7566.0,,230.0,37.0,39.0,,3573.0,92.0,3780.0,9681.0,1282.0,617.0,67.0,459.0,77.0,8.0,,,,0.0,6.0,77.0,534.0,6.0
2020-04-29,DC,4106.0,703.0,2037.0,,64.0,11.0,11.0,770.0,,513.0,797.0,2490.0,819.0,205.0,22.0,163.0,14.0,4.0,,,,2.0,0.0,14.0,191.0,0.0
2020-10-25,DC,16767.0,3768.0,8319.0,,275.0,38.0,45.0,,4181.0,141.0,4158.0,11146.0,1463.0,642.0,67.0,480.0,81.0,8.0,,,,0.0,6.0,81.0,555.0,6.0
2021-03-07,DC,41419.0,10708.0,20164.0,,914.0,86.0,82.0,,9148.0,317.0,8455.0,30131.0,2833.0,1030.0,105.0,773.0,119.0,14.0,,,,0.0,19.0,119.0,892.0,19.0
2021-02-17,DC,39180.0,10063.0,19006.0,,846.0,81.0,76.0,,8905.0,203.0,8153.0,28278.0,2749.0,985.0,105.0,733.0,115.0,13.0,,,,0.0,19.0,115.0,851.0,19.0
2020-04-26,DC,3841.0,665.0,1891.0,,63.0,11.0,11.0,652.0,,527.0,708.0,2320.0,813.0,178.0,20.0,142.0,11.0,4.0,,,,1.0,0.0,11.0,167.0,0.0
2021-02-24,DC,39943.0,10279.0,19440.0,,864.0,82.0,78.0,,8978.0,222.0,8293.0,28921.0,2729.0,1001.0,105.0,747.0,117.0,13.0,,,,0.0,19.0,117.0,865.0,19.0
2020-10-14,DC,16132.0,3594.0,8090.0,,261.0,38.0,45.0,,3998.0,106.0,4031.0,10723.0,1378.0,638.0,67.0,476.0,81.0,8.0,,,,0.0,6.0,81.0,551.0,6.0
2021-02-10,DC,38348.0,9864.0,18546.0,,821.0,80.0,74.0,,8761.0,202.0,8020.0,27607.0,2721.0,965.0,102.0,717.0,115.0,12.0,,,,0.0,19.0,115.0,831.0,19.0
2020-05-03,DC,5016.0,789.0,2341.0,,72.0,13.0,10.0,990.0,,801.0,954.0,2854.0,1189.0,251.0,27.0,198.0,19.0,5.0,,,,2.0,0.0,19.0,232.0,0.0
2020-10-07,DC,15697.0,3464.0,7893.0,,257.0,38.0,43.0,,3920.0,82.0,3940.0,10416.0,1341.0,632.0,67.0,470.0,81.0,8.0,,,,0.0,6.0,81.0,545.0,6.0
2021-01-31,DC,36872.0,9360.0,17653.0,,776.0,78.0,72.0,,8506.0,427.0,7784.0,26174.0,2914.0,913.0,99.0,675.0,111.0,11.0,,,,0.0,17.0,111.0,785.0,17.0
2020-09-13,DC,14592.0,3163.0,7497.0,,226.0,37.0,39.0,,3531.0,99.0,3753.0,9559.0,1280.0,616.0,66.0,459.0,77.0,8.0,,,,6.0,0.0,77.0,539.0,0.0
2021-01-27,DC,35865.0,9093.0,17249.0,,760.0,77.0,72.0,,8387.0,227.0,7667.0,25512.0,2686.0,895.0,99.0,660.0,111.0,11.0,,,,0.0,14.0,111.0,770.0,14.0
2021-01-17,DC,33851.0,8548.0,16113.0,,710.0,67.0,69.0,,8027.0,317.0,7292.0,23861.0,2698.0,850.0,88.0,628.0,109.0,11.0,,,,0.0,14.0,109.0,727.0,14.0
2021-02-03,DC,37199.0,9501.0,17951.0,,789.0,78.0,73.0,,8617.0,190.0,7867.0,26625.0,2707.0,926.0,99.0,687.0,112.0,11.0,,,,0.0,17.0,112.0,797.0,17.0
2020-08-23,DC,13590.0,2660.0,6804.0,,201.0,30.0,36.0,,3563.0,296.0,3380.0,8227.0,1983.0,604.0,64.0,449.0,77.0,8.0,,,,6.0,0.0,77.0,527.0,0.0
2020-09-20,DC,14955.0,3276.0,7652.0,,240.0,38.0,41.0,,3604.0,104.0,3824.0,9836.0,1295.0,620.0,67.0,461.0,78.0,8.0,,,,0.0,6.0,78.0,536.0,6.0
2021-02-21,DC,39648.0,10201.0,19286.0,,850.0,82.0,77.0,,8939.0,213.0,8238.0,28679.0,2731.0,995.0,105.0,743.0,115.0,13.0,,,,0.0,19.0,115.0,861.0,19.0
2020-05-24,DC,8110.0,1255.0,3757.0,,103.0,22.0,20.0,,1961.0,992.0,2058.0,4529.0,1523.0,432.0,46.0,326.0,49.0,7.0,,,,4.0,0.0,49.0,383.0,0.0
2020-05-17,DC,7123.0,1122.0,3366.0,,96.0,19.0,16.0,,1637.0,867.0,1700.0,4054.0,1369.0,383.0,43.0,294.0,37.0,7.0,,,,2.0,0.0,37.0,346.0,0.0
2020-08-26,DC,13722.0,2905.0,7066.0,,213.0,33.0,38.0,,3233.0,234.0,3599.0,8879.0,1244.0,605.0,64.0,450.0,77.0,8.0,,,,6.0,0.0,77.0,528.0,0.0
2020-09-23,DC,15050.0,3311.0,7711.0,,243.0,38.0,41.0,,3620.0,86.0,3841.0,9931.0,1278.0,621.0,67.0,462.0,78.0,8.0,,,,0.0,6.0,78.0,537.0,6.0
2020-10-11,DC,15984.0,3558.0,8019.0,,260.0,38.0,43.0,,3973.0,93.0,3994.0,10625.0,1365.0,637.0,67.0,475.0,81.0,8.0,,,,0.0,6.0,81.0,550.0,6.0
2020-04-22,DC,3206.0,587.0,1595.0,,57.0,11.0,11.0,481.0,,468.0,589.0,2002.0,615.0,127.0,14.0,102.0,8.0,3.0,,,,0.0,0.0,8.0,119.0,0.0
2021-02-07,DC,38035.0,9761.0,18320.0,,815.0,87.0,74.0,,8730.0,248.0,7971.0,27280.0,2784.0,952.0,102.0,706.0,114.0,12.0,,,,0.0,18.0,114.0,820.0,18.0
2020-09-30,DC,15326.0,3339.0,7758.0,,248.0,36.0,43.0,,3832.0,70.0,3870.0,10155.0,1301.0,627.0,67.0,467.0,79.0,8.0,,,,0.0,6.0,79.0,542.0,6.0
2020-05-13,DC,6584.0,1013.0,3071.0,,88.0,15.0,15.0,,1460.0,922.0,1472.0,3708.0,1404.0,350.0,34.0,271.0,38.0,5.0,,,,2.0,0.0,38.0,312.0,0.0
2021-02-14,DC,38918.0,10010.0,18837.0,,837.0,81.0,76.0,,8849.0,228.0,8100.0,28060.0,2758.0,979.0,105.0,728.0,115.0,12.0,,,,0.0,19.0,115.0,845.0,19.0
2020-10-04,DC,15519.0,3420.0,7823.0,,256.0,38.0,43.0,,3866.0,73.0,3910.0,10303.0,1306.0,631.0,67.0,469.0,81.0,8.0,,,,0.0,6.0,81.0,544.0,6.0
2020-05-10,DC,6272.0,970.0,2919.0,,83.0,14.0,17.0,,1124.0,891.0,1370.0,3523.0,1379.0,323.0,35.0,252.0,29.0,5.0,,,,2.0,0.0,29.0,294.0,0.0
2020-10-18,DC,16370.0,3670.0,8179.0,,269.0,38.0,45.0,,4083.0,86.0,4094.0,10895.0,1381.0,641.0,67.0,479.0,81.0,8.0,,,,0.0,6.0,81.0,554.0,6.0
2020-09-06,DC,14279.0,3074.0,7343.0,,218.0,36.0,38.0,,3492.0,78.0,3705.0,9310.0,1264.0,611.0,64.0,456.0,77.0,8.0,,,,6.0,0.0,77.0,534.0,0.0
2021-01-20,DC,34403.0,8707.0,16473.0,,732.0,71.0,70.0,,8137.0,213.0,7405.0,24381.0,2617.0,863.0,90.0,638.0,110.0,11.0,,,,0.0,14.0,110.0,739.0,14.0
2021-02-14,DE,83003.0,39626.0,18781.0,13801.0,1714.0,,,,4938.0,4143.0,13801.0,65059.0,4143.0,1283.0,896.0,290.0,71.0,10.0,,,,14.0,2.0,71.0,1210.0,2.0
2020-08-26,DE,16986.0,5930.0,4433.0,4190.0,226.0,,,,797.0,1410.0,4190.0,11386.0,1410.0,604.0,369.0,155.0,44.0,1.0,,,,9.0,26.0,44.0,534.0,26.0
2020-10-07,DE,21550.0,8062.0,5695.0,4846.0,290.0,,,,994.0,1663.0,4846.0,15041.0,1663.0,649.0,421.0,166.0,49.0,1.0,,,,12.0,0.0,49.0,600.0,0.0
2020-07-01,DE,11510.0,3460.0,3033.0,3232.0,170.0,,,,561.0,1054.0,3232.0,7224.0,1054.0,509.0,320.0,130.0,31.0,1.0,,,,6.0,21.0,31.0,457.0,21.0
2020-05-24,DE,8809.0,2523.0,2337.0,2431.0,127.0,,,,449.0,942.0,2431.0,5436.0,942.0,326.0,198.0,79.0,24.0,1.0,,,,4.0,20.0,24.0,282.0,20.0
2020-11-01,DE,25126.0,10018.0,6488.0,5379.0,350.0,,,,1152.0,1739.0,5379.0,18008.0,1739.0,710.0,463.0,183.0,50.0,1.0,,,,12.0,23.0,50.0,659.0,23.0
2020-12-16,DE,47929.0,21222.0,11565.0,8807.0,881.0,,,,2832.0,2622.0,8807.0,36500.0,2622.0,833.0,556.0,207.0,54.0,2.0,,,,13.0,1.0,54.0,778.0,1.0
2020-11-29,DE,35251.0,15070.0,8698.0,6920.0,583.0,,,,1898.0,2082.0,6920.0,26249.0,2082.0,770.0,512.0,191.0,52.0,2.0,,,,12.0,1.0,52.0,717.0,1.0
2020-08-16,DE,16451.0,5714.0,4279.0,4065.0,216.0,,,,779.0,1398.0,4065.0,10988.0,1398.0,593.0,364.0,151.0,43.0,1.0,,,,8.0,26.0,43.0,524.0,26.0
2020-10-21,DE,23375.0,9047.0,6116.0,5106.0,322.0,,,,1077.0,1707.0,5106.0,16562.0,1707.0,670.0,434.0,174.0,49.0,1.0,,,,12.0,5.0,49.0,621.0,5.0
2020-06-07,DE,9942.0,2801.0,2855.0,2632.0,151.0,,,,497.0,1006.0,2632.0,6304.0,1006.0,398.0,242.0,105.0,25.0,1.0,,,,4.0,21.0,25.0,352.0,21.0
2021-01-24,DE,74575.0,35120.0,16948.0,12595.0,1502.0,,,,4473.0,3937.0,12595.0,58043.0,3937.0,1041.0,714.0,239.0,63.0,10.0,,,,14.0,1.0,63.0,977.0,1.0
2020-11-25,DE,32995.0,13934.0,8197.0,6619.0,529.0,,,,1700.0,2016.0,6619.0,24360.0,2016.0,760.0,504.0,189.0,52.0,2.0,,,,12.0,1.0,52.0,707.0,1.0
2020-11-18,DE,29755.0,12283.0,7523.0,6124.0,467.0,,,,1461.0,1897.0,6124.0,21734.0,1897.0,742.0,489.0,186.0,52.0,2.0,,,,12.0,1.0,52.0,689.0,1.0
2021-02-03,DE,78982.0,37479.0,17926.0,13207.0,1608.0,,,,4720.0,4042.0,13207.0,61733.0,4042.0,1130.0,782.0,255.0,67.0,10.0,,,,14.0,2.0,67.0,1061.0,2.0
