Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per
2020-12-13,WA,202063.0,53662.0,6814.0,40500.0,6764.0,1695.0,2405.0,3315.0,2050.0,84858.0,40500.0,76705.0,84858.0,2879.0,2004.0,86.0,383.0,198.0,60.0,46.0,38.0,50.0,14.0,383.0,2482.0,14.0,0.26557063886015747,0.03372215596125961,0.20043253836674702,0.03347470838302906,0.008388472902015708,0.011902228512889544,0.696075026050712,0.029871483153872874,0.13303230288294546,0.06877387981938173,0.02084056964223689,0.01597777005904828
2020-12-16,WA,205069.0,54986.0,6955.0,41271.0,7000.0,1722.0,2440.0,3394.0,2084.0,85217.0,41271.0,78581.0,85217.0,2953.0,2056.0,89.0,390.0,202.0,63.0,49.0,38.0,51.0,15.0,390.0,2548.0,15.0,0.2681341402162199,0.033915413836318506,0.2012542119969376,0.03413485217170806,0.008397173634240182,0.01189843418556681,0.696241110734846,0.030138841855739926,0.13206908228919742,0.06840501185235354,0.02133423636979343,0.01659329495428378
2020-12-20,WA,222600.0,58657.0,7251.0,45502.0,7473.0,1848.0,2519.0,3645.0,2198.0,93507.0,45502.0,83591.0,93507.0,3104.0,2172.0,92.0,411.0,214.0,66.0,50.0,40.0,52.0,7.0,411.0,2686.0,7.0,0.2635085354896676,0.03257412398921833,0.2044115004492363,0.03357142857142857,0.00830188679245283,0.011316262353998203,0.6997422680412371,0.029639175257731958,0.132409793814433,0.06894329896907217,0.021262886597938145,0.01610824742268041
2020-12-23,WA,230202.0,60860.0,7473.0,46805.0,7856.0,1923.0,2580.0,3791.0,2236.0,96678.0,46805.0,86719.0,96678.0,3162.0,2210.0,93.0,417.0,224.0,68.0,50.0,41.0,52.0,7.0,417.0,2738.0,7.0,0.26437650411377833,0.03246279354653739,0.20332143074343403,0.034126549725892914,0.008353532984074857,0.01120754815336096,0.6989247311827957,0.029411764705882353,0.1318785578747628,0.07084123972169513,0.021505376344086023,0.015812776723592662
2020-12-27,WA,236719.0,62082.0,7587.0,47359.0,8072.0,1959.0,2619.0,3869.0,2268.0,100904.0,47359.0,79532.0,109828.0,3184.0,2229.0,94.0,419.0,224.0,68.0,50.0,41.0,52.0,7.0,419.0,2758.0,7.0,0.2622603170848136,0.03205065922042591,0.20006421115330836,0.03409950194112006,0.008275634824412067,0.011063750691748444,0.7000628140703518,0.029522613065326633,0.13159547738693467,0.07035175879396985,0.02135678391959799,0.015703517587939697
2020-12-30,WA,242330.0,64289.0,7753.0,48516.0,8348.0,2012.0,2683.0,3968.0,2329.0,102432.0,48516.0,91382.0,102432.0,3420.0,2405.0,107.0,434.0,242.0,73.0,55.0,43.0,53.0,8.0,434.0,2978.0,8.0,0.26529525853175423,0.03199356249742087,0.20020633021086948,0.03444889200676763,0.008302727685387694,0.011071679115256056,0.7032163742690059,0.03128654970760234,0.12690058479532162,0.07076023391812865,0.021345029239766083,0.01608187134502924
2021-01-03,WA,255396.0,66421.0,2392.0,49747.0,8699.0,2060.0,2774.0,4101.0,2392.0,111225.0,49747.0,94424.0,111225.0,3461.0,2430.0,108.0,442.0,244.0,74.0,57.0,43.0,54.0,9.0,442.0,3010.0,9.0,0.26007063540540964,0.009365847546555154,0.19478378674685587,0.03406083102319535,0.008065905495779103,0.01086156400256856,0.7021092169893095,0.031204854088413753,0.12770875469517481,0.07049985553308293,0.02138110372724646,0.016469228546662815
2021-01-06,WA,260752.0,68250.0,8104.0,50712.0,8976.0,2094.0,2826.0,4208.0,2431.0,113151.0,50712.0,96889.0,113151.0,3605.0,2538.0,117.0,450.0,256.0,78.0,57.0,43.0,57.0,9.0,450.0,3146.0,9.0,0.26174295882677795,0.031079339755783274,0.19448364729704853,0.034423513530097566,0.008030619132355648,0.010837884273179112,0.7040221914008322,0.03245492371705964,0.12482662968099861,0.0710124826629681,0.02163661581137309,0.01581137309292649
2021-01-10,WA,271595.0,70969.0,8312.0,51864.0,9300.0,2162.0,2896.0,4363.0,2471.0,119258.0,51864.0,100473.0,119258.0,3699.0,2614.0,120.0,457.0,264.0,78.0,57.0,43.0,57.0,9.0,457.0,3233.0,9.0,0.26130451591524145,0.030604392569819033,0.19096080561129622,0.03424216204274747,0.007960382186711832,0.010662935621053407,0.7066774804001081,0.032441200324412,0.12354690456880238,0.07137064071370641,0.021086780210867802,0.015409570154095702
2021-01-13,WA,281202.0,74235.0,8547.0,53468.0,9743.0,2228.0,3002.0,4537.0,2533.0,122909.0,53468.0,104825.0,122909.0,3838.0,2722.0,124.0,467.0,276.0,79.0,60.0,43.0,57.0,10.0,467.0,3361.0,10.0,0.26399172125376064,0.030394520664860137,0.19014089515721794,0.03464769098370566,0.007923129991963073,0.010675599746801231,0.7092235539343408,0.03230849400729546,0.12167795726941115,0.07191245440333507,0.02058363731109953,0.015633142261594582
